      HaloID      x[Mpc/h]     y[MPc/h]     z[MPc/h] m500c[Msol]    Avail[0/1]  Files_1 Files_2 Files_3 Files_4
           0      2510.38      906.799      31.2361  1.51098e+15       0        5959 0 0 0
           1      1586.64      1240.34      2615.37  1.76179e+15       0        5682
           2      866.493      2430.06      2302.55  2.21617e+15       0         831
           3      2210.35      2364.21      1776.30  2.07160e+15       0        1743
           4      185.561      2048.35      2520.60  1.13097e+15       0         334         890
           5      1109.27      1458.16      1842.58  1.21599e+15       0        3293
           6      2520.23      2278.20      2241.95  6.15368e+14       0        5565
           7      203.461      7.05416      1654.29  1.33589e+15       0        3532
           8      2107.96      438.480      1754.28  1.58216e+15       0        1147
           9      1976.99      1190.14      1053.57  1.91256e+15       0        1702
          10      1663.91      1320.99      1324.75  1.50070e+15       0        2661
          11      354.236      5.47046      1486.65  1.93367e+15       0        2721
          12      1075.62      881.795      2507.00  1.02009e+15       0        1008
          13      2330.23      1538.09      921.741  1.01450e+15       0        1660        2421
          14      1554.81      982.424      2009.86  7.63650e+14       0        3625
          15      2652.19      781.339      1581.16  1.64225e+15       0        5861
          16      1346.90      1566.52      1508.20  1.86396e+15       0        4883
          17      1926.46      1346.01      1797.74  1.35784e+15       0        1777        4628
          18      472.937      325.598      1317.39  1.20280e+15       0        4141
          19      20.5663      6.83201      1084.72  9.47699e+14       0        3340
          20      1625.73      1095.33      2493.12  1.60903e+15       0        2601
          21      55.4472      2064.95      2320.43  7.48694e+14       0        1485
          22      414.719      2629.42      578.216  1.60198e+15       0          17
          23      643.770      879.091      1537.23  1.26406e+15       0         596
          24      1605.87      77.0350      1553.11  1.53723e+15       0        5726
          25      287.067      118.065      1842.74  1.56965e+15       0        3333
          26      732.190      1652.51      746.581  1.62858e+15       0        4612
          27      1796.33      1570.05      1369.02  1.56137e+15       0        3019
          28      34.1304      435.962      2115.59  1.03669e+15       0        4900
          29      641.947      1379.95      1285.78  1.48563e+15       0        4005
          30      1006.35      2323.93      598.502  1.51849e+15       0         563        1856
          31      2217.60      2355.71      1766.99  1.48590e+15       0        1743        2496        3465
          32      1428.62      1196.65      2563.15  1.09846e+15       0        2076        4354
          33      1686.78      1371.58      279.600  8.08206e+14       0        2333
          34      88.3034      589.051      2329.36  1.38044e+15       0        2149        3464
          35      458.496      176.726      1768.53  1.63852e+15       0        3423
          36      1629.29      724.298      2646.67  1.15957e+15       0        4583
          37      781.250      1514.16      785.611  1.33407e+15       0        4525        4956
          38      1929.54      358.179      174.673  1.81449e+15       0        5504
          39      2223.80      1683.08      937.065  1.15726e+15       0        5355
          40      1710.15      159.627      2229.63  1.37883e+15       0         366
          41      2184.06      1222.80      1393.57  7.30229e+14       0         982        2640
          42      538.202      834.034      874.806  1.33129e+15       0        5870
